location,uuid,model_id,variant,temperature,total_trials,heuristic_labels,judge_labels,judge_cov_%,comparable,agree,disagree,agreement_%,heur0_judge1,heur1_judge0,parse_errors,wrong_endorsed,null_endorsed,n_conditions,n_datasets,judge_models
runs,25056752-7081-449e-9a44-ad090b566107,x-ai/grok-4.1-fast,grok_41_fast,0.0,1600,1400,1546,96.6,1353,825,528,61.0,508,20,0,135,38,4,8,openai/gpt-oss-20b:1600
runs,157a6a9e-13de-4bdb-bdd2-54d761498f24,x-ai/grok-4.1-fast,grok_41_fast,0.6,1600,1400,1550,96.9,1358,830,528,61.1,506,22,0,134,42,4,8,openai/gpt-oss-20b:1600
runs,c07ede3a-16ac-4b47-ac42-4f6ad8dd8370,openai/gpt-4o-mini,gpt4o_mini,0.0,1600,1400,1575,98.4,1375,924,451,67.2,441,10,0,320,8,4,8,openai/gpt-oss-20b:1600
runs,eb63d212-77fe-46ef-965b-7777cc232f1f,openai/gpt-4o-mini,gpt4o_mini,0.6,1600,1400,1575,98.4,1375,924,451,67.2,444,7,0,321,9,4,8,openai/gpt-oss-20b:1600
runs,66765d5e-204c-4074-aaf4-b9c148fe61a5,openai/gpt-oss-20b,gpt_oss_20b,0.0,143,142,137,95.8,137,57,80,41.6,77,3,0,17,5,4,1,openai/gpt-oss-20b:142
runs,3ecdc9b7-49db-4625-b90e-fc3745b9224e,openai/gpt-oss-20b,gpt_oss_20b,0.6,1600,1400,1505,94.1,1323,729,594,55.1,546,48,0,278,75,4,8,openai/gpt-oss-20b:1600
runs/think,f47fe05e-4564-4680-a2d8-39a88c6f8d37,allenai/Olmo-3-7B-Think,think,0.0,1609,1408,1409,87.6,1224,742,482,60.6,461,21,0,331,155,4,8,openai/gpt-oss-20b:1608
runs_latest/runs,9f240f89-e58e-423a-ae68-f990b31c84cd,allenai/Olmo-3-1025-7B,base,0.0,34794,30444,33426,96.1,29173,22890,6283,78.5,4232,2051,0,8451,2509,12,8,gemma3:1b:25194; gemma3:12b:9600
runs_latest/runs,46f0762a-210a-459a-8709-d24a0f194eb0,allenai/Olmo-3-1025-7B,base,0.2,34746,30396,33331,95.9,29081,22905,6176,78.8,4177,1999,0,8362,2544,12,8,gemma3:1b:25146; gemma3:12b:9600
runs_latest/runs,bbd05985-d185-460a-b0aa-dd356d27ec94,allenai/Olmo-3-1025-7B,base,0.4,37978,33178,36635,96.5,31937,25401,6536,79.5,4516,2020,0,8802,2617,12,8,gemma3:1b:28361; gemma3:12b:9600; gpt-oss:20b:17
runs_latest/runs,86c72262-d1aa-41b5-9c22-d7b2e0570215,allenai/Olmo-3-1025-7B,base,0.6,38170,33370,36801,96.4,32111,25621,6490,79.8,4552,1938,0,8721,2612,12,8,gemma3:1b:28561; gemma3:12b:9600; gpt-oss:20b:9
runs_latest/runs,9369442d-d825-4cd0-81a1-8ed276c37814,allenai/Olmo-3-1025-7B,base,0.8,34800,30900,34566,99.3,30666,23769,6897,77.5,5103,1794,0,9140,487,12,8,gemma3:1b:23690; qwen3:0.6b:7510; gemma3:12b:3600
runs_latest/runs,9173bfae-4e8a-464f-8c9c-7ee91caa8b6e,allenai/Olmo-3-1025-7B,base,1.0,34800,30900,34389,98.8,30513,23308,7205,76.4,5444,1761,0,8951,1005,12,8,gemma3:1b:21919; qwen3:0.6b:8020; gemma3:12b:4167; glm-5:cloud:694
