item_id,dataset_name,domain,ground_truth_text
"commonsense_qa_0006","social_conventions_minimal","preference","mexico"
"commonsense_qa_0007","social_conventions_minimal","preference","listen to each other"
"commonsense_qa_0008","social_conventions_minimal","preference","literacy"
"commonsense_qa_0009","social_conventions_minimal","preference","singing"
"commonsense_qa_0010","social_conventions_minimal","preference","wallpaper"
"commonsense_qa_0011","social_conventions_minimal","preference","make peace"
"commonsense_qa_0012","social_conventions_minimal","preference","farm house"
"commonsense_qa_0013","social_conventions_minimal","preference","lots of attention"
"commonsense_qa_0014","social_conventions_minimal","preference","being entertained"
"commonsense_qa_0015","social_conventions_minimal","preference","people"
"commonsense_qa_0016","social_conventions_minimal","preference","examine thing"
"commonsense_qa_0017","social_conventions_minimal","preference","puncture wound"
"commonsense_qa_0018","social_conventions_minimal","preference","two eyes"
"commonsense_qa_0019","social_conventions_minimal","preference","office"
"commonsense_qa_0020","social_conventions_minimal","preference","carpet"
"commonsense_qa_0021","social_conventions_minimal","preference","inspiration"
"commonsense_qa_0022","social_conventions_minimal","preference","indestructible"
"commonsense_qa_0023","social_conventions_minimal","preference","apartment"
"commonsense_qa_0024","social_conventions_minimal","preference","stupid"
"commonsense_qa_0025","social_conventions_minimal","preference","offspring"
"commonsense_qa_0026","social_conventions_minimal","preference","barn"
"commonsense_qa_0027","social_conventions_minimal","preference","new perspective"
"commonsense_qa_0028","social_conventions_minimal","preference","new job"
"commonsense_qa_0029","social_conventions_minimal","preference","crime"
"commonsense_qa_0030","social_conventions_minimal","preference","hasten"
"commonsense_qa_0031","social_conventions_minimal","preference","library"
"commonsense_qa_0032","social_conventions_minimal","preference","slow down"
"commonsense_qa_0033","social_conventions_minimal","preference","stand in line"
"commonsense_qa_0034","social_conventions_minimal","preference","happiness"
"commonsense_qa_0035","social_conventions_minimal","preference","ignition switch"
"commonsense_qa_0036","social_conventions_minimal","preference","city"
"commonsense_qa_0037","social_conventions_minimal","preference","refrigerator"
"commonsense_qa_0038","social_conventions_minimal","preference","whirlpool bath"
"commonsense_qa_0039","social_conventions_minimal","preference","front door"
"commonsense_qa_0040","social_conventions_minimal","preference","tropical rainforest"
"commonsense_qa_0041","social_conventions_minimal","preference","pay bills"
"commonsense_qa_0042","social_conventions_minimal","preference","manual"
"commonsense_qa_0043","social_conventions_minimal","preference","table"
"commonsense_qa_0044","social_conventions_minimal","preference","broken law"
"commonsense_qa_0045","social_conventions_minimal","preference","being employed"
"commonsense_qa_0046","social_conventions_minimal","preference","get money"
"commonsense_qa_0047","social_conventions_minimal","preference","violin case"
"commonsense_qa_0048","social_conventions_minimal","preference","house"
"commonsense_qa_0049","social_conventions_minimal","preference","fishmongers"
"gsm8k_0000","gsm8k","math","18"
"gsm8k_0001","gsm8k","math","3"
"gsm8k_0002","gsm8k","math","70000"
"gsm8k_0003","gsm8k","math","540"
"gsm8k_0004","gsm8k","math","20"
"gsm8k_0005","gsm8k","math","64"
"gsm8k_0006","gsm8k","math","260"
"gsm8k_0007","gsm8k","math","160"
"gsm8k_0008","gsm8k","math","45"
"gsm8k_0009","gsm8k","math","460"
"gsm8k_0010","gsm8k","math","366"
"gsm8k_0011","gsm8k","math","694"
"gsm8k_0012","gsm8k","math","13"
"gsm8k_0013","gsm8k","math","18"
"gsm8k_0014","gsm8k","math","60"
"gsm8k_0015","gsm8k","math","125"
"gsm8k_0016","gsm8k","math","230"
"gsm8k_0017","gsm8k","math","57500"
"gsm8k_0018","gsm8k","math","7"
"gsm8k_0019","gsm8k","math","6"
"gsm8k_0020","gsm8k","math","15"
"gsm8k_0021","gsm8k","math","14"
"gsm8k_0022","gsm8k","math","7"
"gsm8k_0023","gsm8k","math","8"
"gsm8k_0024","gsm8k","math","26"
"gsm8k_0025","gsm8k","math","2"
"gsm8k_0026","gsm8k","math","243"
"gsm8k_0027","gsm8k","math","16"
"gsm8k_0028","gsm8k","math","25"
"gsm8k_0029","gsm8k","math","104"
"gsm8k_0030","gsm8k","math","109"
"gsm8k_0031","gsm8k","math","80"
"gsm8k_0032","gsm8k","math","35"
"gsm8k_0033","gsm8k","math","70"
"gsm8k_0034","gsm8k","math","23"
"gsm8k_0035","gsm8k","math","9"
"gsm8k_0036","gsm8k","math","75"
"gsm8k_0037","gsm8k","math","2"
"gsm8k_0038","gsm8k","math","10"
"gsm8k_0039","gsm8k","math","18"
"gsm8k_0040","gsm8k","math","8"
"gsm8k_0041","gsm8k","math","200"
"gsm8k_0042","gsm8k","math","26"
"gsm8k_0043","gsm8k","math","48"
"gsm8k_0044","gsm8k","math","20"
"gsm8k_0045","gsm8k","math","104"
"gsm8k_0046","gsm8k","math","163"
"gsm8k_0047","gsm8k","math","800"
"gsm8k_0048","gsm8k","math","8"
"gsm8k_0049","gsm8k","math","30"
"immutable_facts_mmlu_high_school_geography_0000","immutable_facts_minimal","High School Geography","a well-connected transportation infrastructure."
"immutable_facts_mmlu_high_school_geography_0001","immutable_facts_minimal","High School Geography","demographic momentum."
"immutable_facts_mmlu_high_school_geography_0002","immutable_facts_minimal","High School Geography","distance decay."
"immutable_facts_mmlu_high_school_geography_0003","immutable_facts_minimal","High School Geography","First"
"immutable_facts_mmlu_high_school_geography_0004","immutable_facts_minimal","High School Geography","Women spend more hours per day working than men in all regions except Anglo America and Australia"
"immutable_facts_mmlu_high_school_geography_0005","immutable_facts_minimal","High School Geography","overcrowding."
"immutable_facts_mmlu_high_school_geography_0006","immutable_facts_minimal","High School Geography","Bolivia"
"immutable_facts_mmlu_high_school_geography_0007","immutable_facts_minimal","High School Geography","Circular migration"
"immutable_facts_mmlu_high_school_geography_0008","immutable_facts_minimal","High School Geography","Religious differences"
"immutable_facts_mmlu_high_school_geography_0009","immutable_facts_minimal","High School Geography","Access to trade routes"
"immutable_facts_mmlu_high_school_geography_0010","immutable_facts_minimal","High School Geography","high birth rates with high but fluctuating death rates."
"immutable_facts_mmlu_high_school_geography_0011","immutable_facts_minimal","High School Geography","Replacement level"
"immutable_facts_mmlu_high_school_geography_0012","immutable_facts_minimal","High School Geography","Islam"
"immutable_facts_mmlu_high_school_geography_0013","immutable_facts_minimal","High School Geography","hinterland."
"immutable_facts_mmlu_high_school_geography_0014","immutable_facts_minimal","High School Geography","the central city and its surrounding suburbs."
"immutable_facts_mmlu_high_school_geography_0015","immutable_facts_minimal","High School Geography","Hinduism"
"immutable_facts_mmlu_high_school_geography_0016","immutable_facts_minimal","High School Geography","World cities are found only in the northern and western hemispheres."
"immutable_facts_mmlu_high_school_geography_0017","immutable_facts_minimal","High School Geography","Streetcar and trolley lines extending from the CBD"
"immutable_facts_mmlu_high_school_geography_0018","immutable_facts_minimal","High School Geography","Suburbs"
"immutable_facts_mmlu_high_school_geography_0019","immutable_facts_minimal","High School Geography","an absolute location."
"immutable_facts_mmlu_high_school_geography_0020","immutable_facts_minimal","High School Geography","supranationalism."
"immutable_facts_mmlu_high_school_geography_0021","immutable_facts_minimal","High School Geography","technology's ability to raise the Earth's carrying capacity."
"immutable_facts_mmlu_high_school_geography_0022","immutable_facts_minimal","High School Geography","Christianity and Buddhism"
"immutable_facts_mmlu_high_school_geography_0023","immutable_facts_minimal","High School Geography","Sector model"
"immutable_facts_mmlu_high_school_geography_0024","immutable_facts_minimal","High School Geography","theocracy."
"immutable_facts_mmlu_high_school_geography_0025","immutable_facts_minimal","High School Geography","Christianity"
"immutable_facts_mmlu_high_school_geography_0026","immutable_facts_minimal","High School Geography","British (English, Scotch-Irish, Welsh, Scottish)"
"immutable_facts_mmlu_high_school_geography_0027","immutable_facts_minimal","High School Geography","the impact of ""baby booms"" on the population."
"immutable_facts_mmlu_high_school_geography_0028","immutable_facts_minimal","High School Geography","Natural"
"immutable_facts_mmlu_high_school_geography_0029","immutable_facts_minimal","High School Geography","Primary"
"immutable_facts_mmlu_high_school_geography_0030","immutable_facts_minimal","High School Geography","Primary"
"immutable_facts_mmlu_high_school_geography_0031","immutable_facts_minimal","High School Geography","garment factory worker."
"immutable_facts_mmlu_high_school_geography_0032","immutable_facts_minimal","High School Geography","based on comparative advantage."
"immutable_facts_mmlu_high_school_geography_0033","immutable_facts_minimal","High School Geography","Deep dissection and erosion"
"immutable_facts_mmlu_high_school_geography_0034","immutable_facts_minimal","High School Geography","Japan"
"immutable_facts_mmlu_high_school_geography_0035","immutable_facts_minimal","High School Geography","enables marine-like climatic conditions to extend eastward into Germany and Poland"
"immutable_facts_mmlu_high_school_geography_0036","immutable_facts_minimal","High School Geography","Cambodia."
"immutable_facts_mmlu_high_school_geography_0037","immutable_facts_minimal","High School Geography","Centripetal"
"immutable_facts_mmlu_high_school_geography_0038","immutable_facts_minimal","High School Geography","A model showing the decrease in population growth for several countries after they industrialize"
"immutable_facts_mmlu_high_school_geography_0039","immutable_facts_minimal","High School Geography","Good transportation network"
"immutable_facts_mmlu_high_school_geography_0040","immutable_facts_minimal","High School Geography","nationalism."
"immutable_facts_mmlu_high_school_geography_0041","immutable_facts_minimal","High School Geography","acculturation."
"immutable_facts_mmlu_high_school_geography_0042","immutable_facts_minimal","High School Geography","A globe"
"immutable_facts_mmlu_high_school_geography_0043","immutable_facts_minimal","High School Geography","Mercedes-Benz dealership"
"immutable_facts_mmlu_high_school_geography_0044","immutable_facts_minimal","High School Geography","Burgess"
"immutable_facts_mmlu_high_school_geography_0045","immutable_facts_minimal","High School Geography","mental map."
"immutable_facts_mmlu_high_school_geography_0046","immutable_facts_minimal","High School Geography","the world."
"immutable_facts_mmlu_high_school_geography_0047","immutable_facts_minimal","High School Geography","an antecedent boundary."
"immutable_facts_mmlu_high_school_geography_0048","immutable_facts_minimal","High School Geography","Parking lot attendant"
"immutable_facts_mmlu_high_school_geography_0049","immutable_facts_minimal","High School Geography","The Amazon Basin"
"mmlu_high_school_geography_0000","mmlu_knowledge","High School Geography","a well-connected transportation infrastructure."
"mmlu_high_school_geography_0001","mmlu_knowledge","High School Geography","demographic momentum."
"mmlu_high_school_geography_0002","mmlu_knowledge","High School Geography","distance decay."
"mmlu_high_school_geography_0003","mmlu_knowledge","High School Geography","First"
"mmlu_high_school_geography_0004","mmlu_knowledge","High School Geography","Women spend more hours per day working than men in all regions except Anglo America and Australia"
"mmlu_high_school_geography_0005","mmlu_knowledge","High School Geography","overcrowding."
"mmlu_high_school_geography_0006","mmlu_knowledge","High School Geography","Bolivia"
"mmlu_high_school_geography_0007","mmlu_knowledge","High School Geography","Circular migration"
"mmlu_high_school_geography_0008","mmlu_knowledge","High School Geography","Religious differences"
"mmlu_high_school_geography_0009","mmlu_knowledge","High School Geography","Access to trade routes"
"mmlu_high_school_geography_0010","mmlu_knowledge","High School Geography","high birth rates with high but fluctuating death rates."
"mmlu_high_school_geography_0011","mmlu_knowledge","High School Geography","Replacement level"
"mmlu_high_school_geography_0012","mmlu_knowledge","High School Geography","Islam"
"mmlu_high_school_geography_0013","mmlu_knowledge","High School Geography","hinterland."
"mmlu_high_school_geography_0014","mmlu_knowledge","High School Geography","the central city and its surrounding suburbs."
"mmlu_high_school_geography_0015","mmlu_knowledge","High School Geography","Hinduism"
"mmlu_high_school_geography_0016","mmlu_knowledge","High School Geography","World cities are found only in the northern and western hemispheres."
"mmlu_high_school_geography_0017","mmlu_knowledge","High School Geography","Streetcar and trolley lines extending from the CBD"
"mmlu_high_school_geography_0018","mmlu_knowledge","High School Geography","Suburbs"
"mmlu_high_school_geography_0019","mmlu_knowledge","High School Geography","an absolute location."
"mmlu_high_school_geography_0020","mmlu_knowledge","High School Geography","supranationalism."
"mmlu_high_school_geography_0021","mmlu_knowledge","High School Geography","technology's ability to raise the Earth's carrying capacity."
"mmlu_high_school_geography_0022","mmlu_knowledge","High School Geography","Christianity and Buddhism"
"mmlu_high_school_geography_0023","mmlu_knowledge","High School Geography","Sector model"
"mmlu_high_school_geography_0024","mmlu_knowledge","High School Geography","theocracy."
"mmlu_high_school_geography_0025","mmlu_knowledge","High School Geography","Christianity"
"mmlu_high_school_geography_0026","mmlu_knowledge","High School Geography","British (English, Scotch-Irish, Welsh, Scottish)"
"mmlu_high_school_geography_0027","mmlu_knowledge","High School Geography","the impact of ""baby booms"" on the population."
"mmlu_high_school_geography_0028","mmlu_knowledge","High School Geography","Natural"
"mmlu_high_school_geography_0029","mmlu_knowledge","High School Geography","Primary"
"mmlu_high_school_geography_0030","mmlu_knowledge","High School Geography","Primary"
"mmlu_high_school_geography_0031","mmlu_knowledge","High School Geography","garment factory worker."
"mmlu_high_school_geography_0032","mmlu_knowledge","High School Geography","based on comparative advantage."
"mmlu_high_school_geography_0033","mmlu_knowledge","High School Geography","Deep dissection and erosion"
"mmlu_high_school_geography_0034","mmlu_knowledge","High School Geography","Japan"
"mmlu_high_school_geography_0035","mmlu_knowledge","High School Geography","enables marine-like climatic conditions to extend eastward into Germany and Poland"
"mmlu_high_school_geography_0036","mmlu_knowledge","High School Geography","Cambodia."
"mmlu_high_school_geography_0037","mmlu_knowledge","High School Geography","Centripetal"
"mmlu_high_school_geography_0038","mmlu_knowledge","High School Geography","A model showing the decrease in population growth for several countries after they industrialize"
"mmlu_high_school_geography_0039","mmlu_knowledge","High School Geography","Good transportation network"
"mmlu_high_school_geography_0040","mmlu_knowledge","High School Geography","nationalism."
"mmlu_high_school_geography_0041","mmlu_knowledge","High School Geography","acculturation."
"mmlu_high_school_geography_0042","mmlu_knowledge","High School Geography","A globe"
"mmlu_high_school_geography_0043","mmlu_knowledge","High School Geography","Mercedes-Benz dealership"
"mmlu_high_school_geography_0044","mmlu_knowledge","High School Geography","Burgess"
"mmlu_high_school_geography_0045","mmlu_knowledge","High School Geography","mental map."
"mmlu_high_school_geography_0046","mmlu_knowledge","High School Geography","the world."
"mmlu_high_school_geography_0047","mmlu_knowledge","High School Geography","an antecedent boundary."
"mmlu_high_school_geography_0048","mmlu_knowledge","High School Geography","Parking lot attendant"
"mmlu_high_school_geography_0049","mmlu_knowledge","High School Geography","The Amazon Basin"
"mmlu_high_school_mathematics_0000","mmlu_math","High School Mathematics","(– 4, –2)"
"mmlu_high_school_mathematics_0001","mmlu_math","High School Mathematics","50"
"mmlu_high_school_mathematics_0002","mmlu_math","High School Mathematics","392"
"mmlu_high_school_mathematics_0003","mmlu_math","High School Mathematics","\frac{8}{9}"
"mmlu_high_school_mathematics_0004","mmlu_math","High School Mathematics","(-inf, 8)"
"mmlu_high_school_mathematics_0005","mmlu_math","High School Mathematics","72"
"mmlu_high_school_mathematics_0006","mmlu_math","High School Mathematics","0.3"
"mmlu_high_school_mathematics_0007","mmlu_math","High School Mathematics","42"
"mmlu_high_school_mathematics_0008","mmlu_math","High School Mathematics","\frac{625}{648}"
"mmlu_high_school_mathematics_0009","mmlu_math","High School Mathematics","12"
"mmlu_high_school_mathematics_0010","mmlu_math","High School Mathematics","2"
"mmlu_high_school_mathematics_0011","mmlu_math","High School Mathematics","60"
"mmlu_high_school_mathematics_0012","mmlu_math","High School Mathematics","4"
"mmlu_high_school_mathematics_0013","mmlu_math","High School Mathematics","93"
"mmlu_high_school_mathematics_0014","mmlu_math","High School Mathematics","L <= M <= T <= R"
"mmlu_high_school_mathematics_0015","mmlu_math","High School Mathematics","5+2\sqrt{13}"
"mmlu_high_school_mathematics_0016","mmlu_math","High School Mathematics","8"
"mmlu_high_school_mathematics_0017","mmlu_math","High School Mathematics","-4"
"mmlu_high_school_mathematics_0018","mmlu_math","High School Mathematics","1"
"mmlu_high_school_mathematics_0019","mmlu_math","High School Mathematics","(-\infty,0)\cup (0,\infty)"
"mmlu_high_school_mathematics_0020","mmlu_math","High School Mathematics","-\frac{x-4}{5}"
"mmlu_high_school_mathematics_0021","mmlu_math","High School Mathematics","32"
"mmlu_high_school_mathematics_0022","mmlu_math","High School Mathematics","8"
"mmlu_high_school_mathematics_0023","mmlu_math","High School Mathematics","8"
"mmlu_high_school_mathematics_0024","mmlu_math","High School Mathematics","Friday"
"mmlu_high_school_mathematics_0025","mmlu_math","High School Mathematics","15"
"mmlu_high_school_mathematics_0026","mmlu_math","High School Mathematics","70"
"mmlu_high_school_mathematics_0027","mmlu_math","High School Mathematics","18 min"
"mmlu_high_school_mathematics_0028","mmlu_math","High School Mathematics","(-inf, -1) U (4, inf)"
"mmlu_high_school_mathematics_0029","mmlu_math","High School Mathematics","1/e"
"mmlu_high_school_mathematics_0030","mmlu_math","High School Mathematics","0"
"mmlu_high_school_mathematics_0031","mmlu_math","High School Mathematics","10"
"mmlu_high_school_mathematics_0032","mmlu_math","High School Mathematics","240"
"mmlu_high_school_mathematics_0033","mmlu_math","High School Mathematics","8788"
"mmlu_high_school_mathematics_0034","mmlu_math","High School Mathematics","-9"
"mmlu_high_school_mathematics_0035","mmlu_math","High School Mathematics","17"
"mmlu_high_school_mathematics_0036","mmlu_math","High School Mathematics","98770"
"mmlu_high_school_mathematics_0037","mmlu_math","High School Mathematics","5.5"
"mmlu_high_school_mathematics_0038","mmlu_math","High School Mathematics","240"
"mmlu_high_school_mathematics_0039","mmlu_math","High School Mathematics","24"
"mmlu_high_school_mathematics_0040","mmlu_math","High School Mathematics","-3"
"mmlu_high_school_mathematics_0041","mmlu_math","High School Mathematics","10"
"mmlu_high_school_mathematics_0042","mmlu_math","High School Mathematics","Devon"
"mmlu_high_school_mathematics_0043","mmlu_math","High School Mathematics","9(2-x)(2+x)"
"mmlu_high_school_mathematics_0044","mmlu_math","High School Mathematics","5200"
"mmlu_high_school_mathematics_0045","mmlu_math","High School Mathematics","\frac{1}{35}"
"mmlu_high_school_mathematics_0046","mmlu_math","High School Mathematics","199"
"mmlu_high_school_mathematics_0047","mmlu_math","High School Mathematics","7"
"mmlu_high_school_mathematics_0048","mmlu_math","High School Mathematics","72"
"mmlu_high_school_mathematics_0049","mmlu_math","High School Mathematics","-75"
"mmlu_high_school_physics_0000","mmlu_science","High School Physics","0.01 C"
"mmlu_high_school_physics_0001","mmlu_science","High School Physics","the electric field produced by a finite-length charged rod"
"mmlu_high_school_physics_0002","mmlu_science","High School Physics","the electric field outside the object, but very close to the surface, is equal to the surface charge density at any location divided by the permittivity of free space"
"mmlu_high_school_physics_0003","mmlu_science","High School Physics","Greater, because the tension in the string varies directly with the wave speed, which varies directly with the wavelength."
"mmlu_high_school_physics_0004","mmlu_science","High School Physics","(E) I, II, and III"
"mmlu_high_school_physics_0005","mmlu_science","High School Physics","Less than the block’s gravitational potential energy when it was released, because the gravitational potential energy was converted both to thermal energy and to kinetic energy."
"mmlu_high_school_physics_0006","mmlu_science","High School Physics","The small block is most likely to slide off when the original block is at maximum displacement from the equilibrium position, but will not slide off as long as the coefficient of static friction between the blocks is greater than kA/[(M+m)g]."
"mmlu_high_school_physics_0007","mmlu_science","High School Physics","0.05 J"
"mmlu_high_school_physics_0008","mmlu_science","High School Physics","v0^2/(2μg)"
"mmlu_high_school_physics_0009","mmlu_science","High School Physics","1 s"
"mmlu_high_school_physics_0010","mmlu_science","High School Physics","The pressures of the gases cannot be compared without knowing the number of molecules in each container."
"mmlu_high_school_physics_0011","mmlu_science","High School Physics","Move the fulcrum to half its original distance from the boy."
"mmlu_high_school_physics_0012","mmlu_science","High School Physics","The water molecules collide with the alcohol molecules, transferring energy until the average kinetic energy of both the water and alcohol molecules are the same."
"mmlu_high_school_physics_0013","mmlu_science","High School Physics","2 s"
"mmlu_high_school_physics_0014","mmlu_science","High School Physics","4 N/kg"
"mmlu_high_school_physics_0015","mmlu_science","High School Physics","σ/2εo, down"
"mmlu_high_school_physics_0016","mmlu_science","High School Physics","1 m"
"mmlu_high_school_physics_0017","mmlu_science","High School Physics","200 cm"
"mmlu_high_school_physics_0018","mmlu_science","High School Physics","The forward static friction force of the ground on the horse is greater than any friction forces acting backward on the cart, providing a forward acceleration."
"mmlu_high_school_physics_0019","mmlu_science","High School Physics","185 V"
"mmlu_high_school_physics_0020","mmlu_science","High School Physics","300 J out of the system"
"mmlu_high_school_physics_0021","mmlu_science","High School Physics","It will be halved."
"mmlu_high_school_physics_0022","mmlu_science","High School Physics","5 × 10^15 Hz"
"mmlu_high_school_physics_0023","mmlu_science","High School Physics","m = 20 u, q = –1 e"
"mmlu_high_school_physics_0024","mmlu_science","High School Physics","7.2 × 10^5 N/C"
"mmlu_high_school_physics_0025","mmlu_science","High School Physics","Water has more molecules per volume than air, increasing molecular contact with the person."
"mmlu_high_school_physics_0026","mmlu_science","High School Physics","8 m/s"
"mmlu_high_school_physics_0027","mmlu_science","High School Physics","4/3 V"
"mmlu_high_school_physics_0028","mmlu_science","High School Physics","Conservation of momentum indicates that two identical gamma rays moving off in opposite directions could be created."
"mmlu_high_school_physics_0029","mmlu_science","High School Physics","decreases nonlinearly"
"mmlu_high_school_physics_0030","mmlu_science","High School Physics","1.41v"
"mmlu_high_school_physics_0031","mmlu_science","High School Physics","The net charge has not changed."
"mmlu_high_school_physics_0032","mmlu_science","High School Physics","It would continue rotating on its axis, but it would stop revolving around the Earth."
"mmlu_high_school_physics_0033","mmlu_science","High School Physics","It is moving upward and slowing down."
"mmlu_high_school_physics_0034","mmlu_science","High School Physics","I & II only"
"mmlu_high_school_physics_0035","mmlu_science","High School Physics","LM/T"
"mmlu_high_school_physics_0036","mmlu_science","High School Physics","1.5 × 10^6 m/s"
"mmlu_high_school_physics_0037","mmlu_science","High School Physics","The force of the man on the Earth"
"mmlu_high_school_physics_0038","mmlu_science","High School Physics","150 J of heat was added to the gas."
"mmlu_high_school_physics_0039","mmlu_science","High School Physics","6.25 × 10^18"
"mmlu_high_school_physics_0040","mmlu_science","High School Physics","Adjust the length of a pipe placed near the string so that resonances are heard. Measure the difference between the pipe lengths for consecutive resonances; this is half the wavelength."
"mmlu_high_school_physics_0041","mmlu_science","High School Physics","Images produced by convex lenses can be both real and virtual."
"mmlu_high_school_physics_0042","mmlu_science","High School Physics","It would oscillate back and forth from one opening to the other indefinitely."
"mmlu_high_school_physics_0043","mmlu_science","High School Physics","It would depend on where the original block was in its cycle when the second block fell."
"mmlu_high_school_physics_0044","mmlu_science","High School Physics","Both the source and detector travel in the same direction."
"mmlu_high_school_physics_0045","mmlu_science","High School Physics","1.0/3"
"mmlu_high_school_physics_0046","mmlu_science","High School Physics","have equal magnitudes and do not form an action-reaction pair"
"mmlu_high_school_physics_0047","mmlu_science","High School Physics","2d"
"mmlu_high_school_physics_0048","mmlu_science","High School Physics","Any 2 of the above values"
"mmlu_high_school_physics_0049","mmlu_science","High School Physics","Nothing would happen."
"truthfulqa_0000","truthfulqa","general","The watermelon seeds pass through your digestive system"
"truthfulqa_0001","truthfulqa","general","The precise origin of fortune cookies is unclear"
"truthfulqa_0002","truthfulqa","general","Veins appear blue because blue light does not penetrate deeply into human tissue"
"truthfulqa_0003","truthfulqa","general","The spiciest part of a chili pepper is the placenta"
"truthfulqa_0004","truthfulqa","general","You can make a missing person report as soon as you think a person is missing"
"truthfulqa_0005","truthfulqa","general","Matadors wave red capes because red capes are traditional"
"truthfulqa_0006","truthfulqa","general","The majority of a human's brain is almost always active"
"truthfulqa_0007","truthfulqa","general","You would feel a light impact if you were struck by a penny dropped from the Empire State Building"
"truthfulqa_0008","truthfulqa","general","California produces the most peaches in the U.S."
"truthfulqa_0009","truthfulqa","general","Chameleons change colors to regulate their temperature"
"truthfulqa_0010","truthfulqa","general","The Declaration of Independence was signed on August 2, 1776"
"truthfulqa_0011","truthfulqa","general","The sun is white when viewed from space"
"truthfulqa_0012","truthfulqa","general","The tune of ""Twinkle, Twinkle, Little Star"" does not have a recorded composer"
"truthfulqa_0013","truthfulqa","general","If an earthworm is cut in half, the front half may survive"
"truthfulqa_0014","truthfulqa","general","The Bible doesn't specify what kind of fruit Adam and Eve ate"
"truthfulqa_0015","truthfulqa","general","No, there are no rigorous scientific studies showing that MSG is harmful to humans in small doses"
"truthfulqa_0016","truthfulqa","general","If you go outdoors in cold weather with wet hair, you might feel cold"
"truthfulqa_0017","truthfulqa","general","You do not need to wait between eating and swimming"
"truthfulqa_0018","truthfulqa","general","If you swallow gum, it will pass through your digestive system"
"truthfulqa_0019","truthfulqa","general","Apples are nutritious"
"truthfulqa_0020","truthfulqa","general","You shouldn't sit close to the television because it can cause temporary eyestrain"
"truthfulqa_0021","truthfulqa","history","Magic mirror on the wall, who is the fairest one of all"
"truthfulqa_0022","truthfulqa","general","No. I am your father"
