variant,condition,reasoning_order,total,conforming,conformity_rate
think_dpo,asch_history_5,social_first,330,87,0.2636
think_dpo,asch_history_5,answer_only,392,76,0.1939
think_dpo,asch_history_5,social_only,472,114,0.2415
think_dpo,asch_history_5,neither,529,63,0.1191
think_dpo,asch_zhu_unbiased_da,answer_first,611,206,0.3372
think_dpo,asch_zhu_unbiased_da,social_first,612,121,0.1977
think_dpo,asch_zhu_unbiased_da,answer_only,152,27,0.1776
think_dpo,asch_zhu_unbiased_da,social_only,658,156,0.2371
think_dpo,asch_zhu_unbiased_da,neither,360,61,0.1694
think_dpo,asch_zhu_unbiased_diverse_plain,answer_first,629,198,0.3148
think_dpo,asch_zhu_unbiased_diverse_plain,social_first,533,125,0.2345
think_dpo,asch_zhu_unbiased_diverse_plain,answer_only,152,25,0.1645
think_dpo,asch_zhu_unbiased_diverse_plain,social_only,689,143,0.2075
think_dpo,asch_zhu_unbiased_diverse_plain,neither,390,72,0.1846
think_dpo,asch_zhu_unbiased_qd,answer_first,676,252,0.3728
think_dpo,asch_zhu_unbiased_qd,social_first,620,100,0.1613
think_dpo,asch_zhu_unbiased_qd,answer_only,147,28,0.1905
think_dpo,asch_zhu_unbiased_qd,social_only,617,132,0.2139
think_dpo,asch_zhu_unbiased_qd,neither,333,60,0.1802
think_dpo,asch_zhu_unbiased_unanimous_confident,answer_first,593,230,0.3879
think_dpo,asch_zhu_unbiased_unanimous_confident,social_first,668,200,0.2994
think_dpo,asch_zhu_unbiased_unanimous_confident,answer_only,153,30,0.1961
think_dpo,asch_zhu_unbiased_unanimous_confident,social_only,611,199,0.3257
think_dpo,asch_zhu_unbiased_unanimous_confident,neither,369,48,0.1301
think_dpo,asch_zhu_unbiased_unanimous_neutral,answer_first,562,225,0.4004
think_dpo,asch_zhu_unbiased_unanimous_neutral,social_first,707,210,0.297
think_dpo,asch_zhu_unbiased_unanimous_neutral,answer_only,164,26,0.1585
think_dpo,asch_zhu_unbiased_unanimous_neutral,social_only,568,182,0.3204
think_dpo,asch_zhu_unbiased_unanimous_neutral,neither,393,75,0.1908
think_dpo,asch_zhu_unbiased_unanimous_plain,answer_first,583,227,0.3894
think_dpo,asch_zhu_unbiased_unanimous_plain,social_first,650,187,0.2877
think_dpo,asch_zhu_unbiased_unanimous_plain,answer_only,196,30,0.1531
think_dpo,asch_zhu_unbiased_unanimous_plain,social_only,566,163,0.288
think_dpo,asch_zhu_unbiased_unanimous_plain,neither,399,71,0.1779
think_dpo,asch_zhu_unbiased_unanimous_uncertain,answer_first,586,197,0.3362
think_dpo,asch_zhu_unbiased_unanimous_uncertain,social_first,660,183,0.2773
think_dpo,asch_zhu_unbiased_unanimous_uncertain,answer_only,172,30,0.1744
think_dpo,asch_zhu_unbiased_unanimous_uncertain,social_only,599,175,0.2922
think_dpo,asch_zhu_unbiased_unanimous_uncertain,neither,376,72,0.1915
think_dpo,authoritative_bias,answer_first,589,189,0.3209
think_dpo,authoritative_bias,social_first,507,121,0.2387
think_dpo,authoritative_bias,answer_only,280,51,0.1821
think_dpo,authoritative_bias,social_only,537,90,0.1676
think_dpo,authoritative_bias,neither,487,45,0.0924
think_dpo,authority_zhu_unbiased_trust,answer_first,613,237,0.3866
think_dpo,authority_zhu_unbiased_trust,social_first,449,122,0.2717
think_dpo,authority_zhu_unbiased_trust,answer_only,299,60,0.2007
think_dpo,authority_zhu_unbiased_trust,social_only,575,146,0.2539
think_dpo,authority_zhu_unbiased_trust,neither,457,83,0.1816
think_dpo,authority_zhu_unbiased_trust_da,answer_first,610,202,0.3311
think_dpo,authority_zhu_unbiased_trust_da,social_first,373,86,0.2306
think_dpo,authority_zhu_unbiased_trust_da,answer_only,345,74,0.2145
think_dpo,authority_zhu_unbiased_trust_da,social_only,576,103,0.1788
think_dpo,authority_zhu_unbiased_trust_da,neither,489,66,0.135
think_sft,asch_history_5,answer_first,680,236,0.3471
think_sft,asch_history_5,social_first,313,67,0.2141
think_sft,asch_history_5,answer_only,417,86,0.2062
think_sft,asch_history_5,social_only,489,151,0.3088
think_sft,asch_history_5,neither,501,72,0.1437
think_sft,asch_zhu_unbiased_da,answer_first,595,175,0.2941
think_sft,asch_zhu_unbiased_da,social_first,639,131,0.205
think_sft,asch_zhu_unbiased_da,answer_only,122,17,0.1393
think_sft,asch_zhu_unbiased_da,social_only,685,100,0.146
think_sft,asch_zhu_unbiased_da,neither,359,84,0.234
think_sft,asch_zhu_unbiased_diverse_plain,answer_first,599,192,0.3205
think_sft,asch_zhu_unbiased_diverse_plain,social_first,573,142,0.2478
think_sft,asch_zhu_unbiased_diverse_plain,answer_only,151,25,0.1656
think_sft,asch_zhu_unbiased_diverse_plain,social_only,713,141,0.1978
think_sft,asch_zhu_unbiased_diverse_plain,neither,364,64,0.1758
think_sft,asch_zhu_unbiased_qd,answer_first,712,280,0.3933
think_sft,asch_zhu_unbiased_qd,social_first,582,124,0.2131
think_sft,asch_zhu_unbiased_qd,answer_only,132,26,0.197
think_sft,asch_zhu_unbiased_qd,social_only,633,108,0.1706
think_sft,asch_zhu_unbiased_qd,neither,341,76,0.2229
think_sft,asch_zhu_unbiased_unanimous_confident,answer_first,595,224,0.3765
think_sft,asch_zhu_unbiased_unanimous_confident,social_first,685,165,0.2409
think_sft,asch_zhu_unbiased_unanimous_confident,answer_only,118,20,0.1695
think_sft,asch_zhu_unbiased_unanimous_confident,social_only,639,112,0.1753
think_sft,asch_zhu_unbiased_unanimous_confident,neither,363,89,0.2452
think_sft,asch_zhu_unbiased_unanimous_neutral,answer_first,612,221,0.3611
think_sft,asch_zhu_unbiased_unanimous_neutral,social_first,664,179,0.2696
think_sft,asch_zhu_unbiased_unanimous_neutral,answer_only,133,25,0.188
think_sft,asch_zhu_unbiased_unanimous_neutral,social_only,646,141,0.2183
think_sft,asch_zhu_unbiased_unanimous_neutral,neither,345,89,0.258
think_sft,asch_zhu_unbiased_unanimous_plain,answer_first,616,238,0.3864
think_sft,asch_zhu_unbiased_unanimous_plain,social_first,630,161,0.2556
think_sft,asch_zhu_unbiased_unanimous_plain,answer_only,160,26,0.1625
think_sft,asch_zhu_unbiased_unanimous_plain,social_only,630,124,0.1968
think_sft,asch_zhu_unbiased_unanimous_plain,neither,364,72,0.1978
think_sft,asch_zhu_unbiased_unanimous_uncertain,answer_first,604,191,0.3162
think_sft,asch_zhu_unbiased_unanimous_uncertain,social_first,649,164,0.2527
think_sft,asch_zhu_unbiased_unanimous_uncertain,answer_only,142,21,0.1479
think_sft,asch_zhu_unbiased_unanimous_uncertain,social_only,637,135,0.2119
think_sft,asch_zhu_unbiased_unanimous_uncertain,neither,368,76,0.2065
think_sft,authoritative_bias,answer_first,586,192,0.3276
think_sft,authoritative_bias,social_first,524,140,0.2672
think_sft,authoritative_bias,answer_only,293,52,0.1775
think_sft,authoritative_bias,social_only,574,116,0.2021
think_sft,authoritative_bias,neither,423,44,0.104
think_sft,authority_zhu_unbiased_trust,answer_first,634,269,0.4243
think_sft,authority_zhu_unbiased_trust,social_first,488,144,0.2951
think_sft,authority_zhu_unbiased_trust,answer_only,238,59,0.2479
think_sft,authority_zhu_unbiased_trust,social_only,625,144,0.2304
think_sft,authority_zhu_unbiased_trust,neither,415,85,0.2048
think_sft,authority_zhu_unbiased_trust_da,answer_first,618,234,0.3786
think_sft,authority_zhu_unbiased_trust_da,social_first,397,90,0.2267
think_sft,authority_zhu_unbiased_trust_da,answer_only,318,70,0.2201
think_sft,authority_zhu_unbiased_trust_da,social_only,631,103,0.1632
think_sft,authority_zhu_unbiased_trust_da,neither,436,80,0.1835
