pillar,metric,stage,value,ci_lo,ci_hi,effect_size_label,interpretation
I,ngram_overlap_n4_median,SFT:OpenMathInstruct 2,0.098837,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:OpenMathInstruct 2,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:OpenMathInstruct 2,4e-05,,,,affirm prefix rate
I,max_run_geq_5_rate,SFT:Tulu 3 Persona GSM,0.00054,,,,has_run_5_response rate
I,P_resp_has_list_given_prompt_has_list,SFT:Tulu 3 Persona GSM,0.964415,,,,P(resp_list|prompt_list)
I,structural_jaccard_median,SFT:Tulu 3 Persona GSM,0.0,,,,struct Jaccard median
I,ngram_overlap_n4_median,SFT:Tulu 3 Persona GSM,0.078261,,,,4-gram overlap median
I,multi_turn_agreement_median,SFT:Tulu 3 Persona GSM,0.0,,,,multi-turn agreement median
I,affirm_prefix_rate,SFT:Tulu 3 Persona GSM,0.001,,,,affirm prefix rate
II,delta_max_run,DPO,0.0,-0.055005,-0.051307,none,positive -> DPO rejected responses contain longer literal-repetition runs
II,delta_consensus_hits,DPO,0.0,-0.000343,-0.000162,none,positive -> DPO rejected responses use more consensus framing (English-only regex; lower bound)
II,delta_has_run_5,DPO,0.0,0.002159,0.003038,none,positive -> DPO rejected responses more frequently contain runs of 5+ identical consecutive tokens
II,delta_struct_jaccard,DPO,0.0,0.03485,0.038738,none,positive -> DPO rejected responses mirror structural formatting more than chosen
II,delta_ngram_overlap,DPO,0.004951,0.11309,0.116895,none,positive -> DPO rejected responses copy more n-grams verbatim from the prompt
II,delta_sycophancy,DPO,0.0,-0.011395,-0.010362,none,positive -> DPO rejected responses use more sycophantic agreement phrases
II,delta_correction,DPO,0.0,-0.013925,-0.010665,none,positive -> DPO chosen responses use more factual correction markers
II,delta_peer_frame_count,DPO,0.0,-4.2e-05,2.3e-05,none,positive -> DPO rejected responses contain more 'Participant N:' style framing
