idx,source_dataset,domain_canonical,prompt_id,w_struct_jaccard,l_struct_jaccard,delta_struct_jaccard,w_ngram_overlap,l_ngram_overlap,delta_ngram_overlap,w_sycophancy,l_sycophancy,delta_sycophancy,w_correction,l_correction,delta_correction,w_affirm_prefix,l_affirm_prefix,w_max_run,l_max_run,delta_max_run,w_consensus_hits,l_consensus_hits,delta_consensus_hits,w_has_run_5,l_has_run_5,delta_has_run_5,w_peer_frame_count,l_peer_frame_count,delta_peer_frame_count,w_correction_per_1k,l_correction_per_1k,delta_correction_per_1k,chosen_model,rejected_model,preference_type
16,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-100-692,0.2500,0.2500,0.0000,0.0490,0.0881,0.0391,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
17,unknown,unmapped,ultrafeedback_cleaned_olmo2_7b-request-37-50,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
18,unknown,unmapped,evol_codealpaca_heval_decontaminated-request-52-22,0.5000,0.7500,0.2500,0.0641,0.2146,0.1505,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-30b-3a,yi-9b,llm_judged
19,unknown,unmapped,tulu_v3.9_wildjailbreak_decontaminated_50k-request-23-81,0.0000,1.0000,1.0000,0.0088,0.0435,0.0347,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
20,unknown,unmapped,valpy_if_qwq_reasoning_verified_no_reasoning-request-41-229,0.0000,0.0000,0.0000,0.0073,0.0452,0.0380,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwq-32b,qwen3-no_reasoning-1.7b,llm_judged
21,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-70-528,0.0000,0.0000,0.0000,0.0143,0.0407,0.0264,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,gpt-120b,qwen3-no_reasoning-0.6b,llm_judged
22,unknown,unmapped,tulu_v3.9_sciriff_10k-request-4-19,0.3333,0.3333,0.0000,0.9538,0.9318,-0.0220,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-14b,qwen3-no_reasoning-0.6b,llm_judged
23,unknown,unmapped,tulu-3-sft-personas-math-request-136-864,0.5000,0.6000,0.1000,0.0908,0.2250,0.1342,0,0,0,1,0,1,1,1,2,1,-1,0,0,0,0,0,0,0,0,0,0.1554,0.0000,0.1554,qwen3-no_reasoning-30b-3a,qwen3-no_reasoning-0.6b,llm_judged
24,unknown,unmapped,evol_codealpaca_heval_decontaminated-request-25-742,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwq-32b,olmo2-1b,llm_judged
25,unknown,unmapped,evol_codealpaca_heval_decontaminated-request-80-337,0.5000,0.5000,0.0000,0.0452,0.1372,0.0920,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
26,unknown,unmapped,Wildchat-1m-gpt-4.1-regeneration-not-english-request-283-42,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
27,unknown,unmapped,tulu-3-sft-personas-instruction-following-o3-request-30-135,0.0000,0.0000,0.0000,0.0000,0.0027,0.0027,0,0,0,0,1,-1,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.0000,0.2352,-0.2352,gpt-120b,phi4-mini-instruct,llm_judged
28,unknown,unmapped,multiturn_self_talk_gpt_395,0.5000,0.5000,0.0000,0.0053,0.0868,0.0816,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,gpt-4o,gpt-3.5,multiturn_self_talk
29,unknown,unmapped,correct-python-sft-187k-request-121-115,0.4000,0.5000,0.1000,0.1941,0.2022,0.0082,0,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
30,unknown,unmapped,tulu_v3.9_open_math_2_gsm8k_50k-request-40-665,0.0000,0.0000,0.0000,0.0000,0.0964,0.0964,0,0,0,0,0,0,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-8b,olmo2-1b,llm_judged
31,unknown,unmapped,evol_codealpaca_heval_decontaminated-request-104-762,0.0000,0.0000,0.0000,0.0187,0.0204,0.0017,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
32,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-7-34,0.0000,0.0000,0.0000,0.0000,0.0116,0.0116,1,0,-1,0,0,0,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
33,unknown,unmapped,IF_sft_data_verified_permissive-request-13-90,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,1,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,0,7.5188,0.0000,7.5188,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
34,unknown,unmapped,filtered_wc_sample_500k-request-161-874,0.0000,0.0000,0.0000,0.0095,0.0370,0.0276,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
35,unknown,unmapped,tulu_v3.9_sciriff_10k-request-6-985,0.0000,0.0000,0.0000,0.1264,0.4000,0.2736,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-30b-3a,qwen3-no_reasoning-1.7b,llm_judged
36,unknown,unmapped,ultrafeedback_cleaned_olmo2_7b-request-58-166,0.6667,0.5000,-0.1667,0.1311,0.3590,0.2279,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
37,unknown,unmapped,correct-python-sft-187k-request-186-138,0.4000,0.4000,0.0000,0.0476,0.1008,0.0532,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
38,unknown,unmapped,filtered_wc_sample_500k-request-343-381,1.0000,0.0000,-1.0000,0.0909,0.0000,-0.0909,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,gpt-4.1-2025-04-14,olmo2-7b,llm_judged
39,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-1-879,0.0000,0.0000,0.0000,0.0584,0.0891,0.0307,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,gpt-120b,olmo2-7b,llm_judged
40,unknown,unmapped,Wildchat-1M-gpt-4.1-regenerated-english-request-356-403,0.0000,1.0000,1.0000,0.0000,0.8750,0.8750,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,gemma3-27b,qwen3-no_reasoning-1.7b,llm_judged
41,unknown,unmapped,tulu_v3.9_sciriff_10k-request-7-37,0.0000,0.0000,0.0000,0.5714,0.3611,-0.2103,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
42,unknown,unmapped,evol_codealpaca_heval_decontaminated-request-42-203,0.5000,0.6667,0.1667,0.0045,0.0316,0.0271,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,gpt-120b,qwen3-no_reasoning-0.6b,llm_judged
43,unknown,unmapped,tulu-3-sft-personas-math-request-37-989,0.2000,0.4000,0.2000,0.0258,0.0281,0.0023,0,0,0,1,0,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0.2681,0.0000,0.2681,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
44,unknown,unmapped,ultrafeedback_cleaned_olmo2_7b-request-11-738,0.0000,0.0000,0.0000,0.8966,0.7692,-0.1273,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
45,unknown,unmapped,IF_sft_data_verified_permissive-request-21-425,1.0000,1.0000,0.0000,0.0248,0.1765,0.1517,0,0,0,0,1,-1,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.0000,0.8340,-0.8340,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
46,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-89-125,0.0000,0.0000,0.0000,0.0507,0.1025,0.0518,0,0,0,0,0,0,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
47,unknown,unmapped,tulu_v3.9_wildjailbreak_decontaminated_50k-request-39-868,0.0000,0.0000,0.0000,0.0197,0.0264,0.0067,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
48,unknown,unmapped,tulu_v3.9_aya_100k-request-8-55,0.0000,0.0000,0.0000,0.0509,0.0526,0.0017,0,0,0,0,0,0,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-1.7b,gemma3-27b,llm_judged
49,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-5-263,0.4000,0.3333,-0.0667,0.0056,0.0488,0.0432,0,0,0,2,1,1,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.3553,0.2904,0.0649,gpt-20b,phi4-mini-instruct,llm_judged
50,unknown,unmapped,filtered_wc_sample_500k-request-444-739,0.5000,0.0000,-0.5000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
51,unknown,unmapped,correct-python-sft-187k-request-118-206,0.6000,0.6000,0.0000,0.0914,0.2396,0.1482,0,0,0,0,0,0,1,1,2,1,-1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
52,unknown,unmapped,tulu-3-sft-personas-math-grade-request-8-958,0.2500,0.2500,0.0000,0.1633,0.0870,-0.0763,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
53,unknown,unmapped,tulu_v3.9_aya_100k-request-69-323,0.0000,0.0000,0.0000,0.3636,0.5926,0.2290,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
54,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-14-197,0.3333,0.3333,0.0000,0.0084,0.1398,0.1314,1,0,-1,1,1,0,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.1305,0.2162,-0.0857,gpt-4.1-2025-04-14,phi4-mini-instruct,llm_judged
55,unknown,unmapped,flan_v2_converted-request-14-511,0.3333,0.3333,0.0000,0.0938,0.0833,-0.0104,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,yi-9b,gemma3-27b,llm_judged
56,unknown,unmapped,valpy_if_qwq_reasoning_verified_no_reasoning-request-16-913,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,phi4-mini-instruct,gemma3-27b,llm_judged
57,unknown,unmapped,filtered_wc_sample_500k-request-454-948,0.0000,0.0000,0.0000,0.0133,0.0005,-0.0128,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
58,unknown,unmapped,multiturn_related_query_gpt_2671,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,gpt-4o,gpt-3.5,multiturn_synthetic_context
59,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-11-997,0.0000,0.0000,0.0000,0.1037,0.1471,0.0434,0,0,0,0,1,-1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.4205,-0.4205,qwen3-no_reasoning-1.7b,olmo2-13b,llm_judged
60,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-13-651,0.0000,0.0000,0.0000,0.1913,0.1729,-0.0184,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
61,unknown,unmapped,tulu-3-sft-personas-math-request-41-800,0.2500,0.2500,0.0000,0.1360,0.1284,-0.0076,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
62,unknown,unmapped,tulu_v3.9_wildjailbreak_decontaminated_50k-request-1-107,0.0000,0.0000,0.0000,0.0041,0.0513,0.0472,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2165,0.0000,0.2165,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
63,unknown,unmapped,filtered_wc_sample_500k-request-62-619,0.5000,0.5000,0.0000,0.0838,0.2517,0.1678,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
64,unknown,unmapped,ultrafeedback_cleaned_olmo2_7b-request-56-110,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,yi-9b,phi4-mini-instruct,llm_judged
65,unknown,unmapped,correct-python-sft-187k-request-35-515,0.0000,0.0000,0.0000,0.0340,0.1111,0.0771,0,0,0,0,0,0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
66,unknown,unmapped,evol_codealpaca_heval_decontaminated-request-42-380,0.2000,0.2000,0.0000,0.0531,0.2385,0.1854,0,0,0,0,0,0,1,1,2,1,-1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
67,unknown,unmapped,IF_sft_data_verified_permissive-request-15-120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0,0,0,1,-1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.3414,-0.3414,gpt-120b,olmo2-1b,llm_judged
68,unknown,unmapped,multiturn_self_talk_gpt_1241,1.0000,0.0000,-1.0000,0.0000,0.0727,0.0727,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,gpt-4o,gpt-3.5,multiturn_self_talk
69,unknown,unmapped,valpy_if_qwq_reasoning_verified_no_reasoning-request-16-259,0.5000,0.5000,0.0000,0.1117,0.1636,0.0519,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.2956,0.3209,-0.0253,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
70,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-70-419,0.2500,0.2500,0.0000,0.0046,0.0937,0.0891,0,0,0,1,1,0,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.1362,0.3465,-0.2103,gpt-20b,qwen3-no_reasoning-0.6b,llm_judged
71,unknown,unmapped,tulu-3-sft-personas-math-request-134-879,0.4000,0.2000,-0.2000,0.0378,0.0780,0.0402,0,0,0,1,0,1,0,0,4,3,-1,0,0,0,0,0,0,0,0,0,0.0536,0.0000,0.0536,qwen3-no_reasoning-4b,olmo2-1b,llm_judged
72,unknown,unmapped,valpy_if_qwq_reasoning_verified_no_reasoning-request-59-571,0.0000,0.0000,0.0000,0.0568,0.0538,-0.0029,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
73,unknown,unmapped,tulu-3-sft-personas-math-grade-request-40-756,0.0000,0.2500,0.2500,0.0137,0.1117,0.0980,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
74,unknown,unmapped,ultrafeedback_cleaned_olmo2_7b-request-10-806,0.0000,1.0000,1.0000,0.0000,0.1000,0.1000,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
75,unknown,unmapped,ultrafeedback_cleaned_olmo2_7b-request-5-554,0.0000,0.0000,0.0000,0.0039,0.0035,-0.0004,0,0,0,0,0,0,1,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,yi-9b,olmo2-1b,llm_judged
76,unknown,unmapped,evol_codealpaca_heval_decontaminated-request-27-14,0.3333,0.2000,-0.1333,0.1687,0.1449,-0.0238,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,yi-9b,qwen3-no_reasoning-0.6b,llm_judged
77,unknown,unmapped,tulu-3-sft-personas-math-grade-request-7-56,0.3333,0.3333,0.0000,0.0427,0.1136,0.0709,0,0,0,1,0,1,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,1.4451,0.0000,1.4451,qwen3-no_reasoning-32b,qwen3-no_reasoning-0.6b,delta_learning
78,unknown,unmapped,tulu_v3.9_wildjailbreak_decontaminated_50k-request-48-288,0.0000,0.0000,0.0000,0.0082,0.0167,0.0086,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-30b-3a,olmo2-1b,llm_judged
79,unknown,unmapped,ultrafeedback_cleaned_olmo2_7b-request-44-603,0.0000,0.0000,0.0000,0.0085,0.0178,0.0094,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,yi-34b,olmo2-13b,llm_judged
80,unknown,unmapped,tulu_v3.9_open_math_2_gsm8k_50k-request-6-988,0.0000,0.0000,0.0000,0.1121,0.0631,-0.0491,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-8b,olmo2-1b,llm_judged
81,unknown,unmapped,tulu-3-sft-personas-math-request-136-609,0.2000,0.6667,0.4667,0.0539,0.0455,-0.0083,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-8b,olmo2-1b,llm_judged
82,unknown,unmapped,OpenThoughts3-full-filtered-science-no-cot-request-22-992,0.0000,0.0000,0.0000,0.0426,0.1067,0.0641,0,0,0,0,0,0,0,0,2,1,-1,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwen3-no_reasoning-30b-3a,qwen3-no_reasoning-0.6b,llm_judged
83,unknown,unmapped,tulu_v3.9_wildjailbreak_decontaminated_50k-request-43-494,0.0000,0.0000,0.0000,0.0206,0.0329,0.0123,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,olmo2-13b,qwen3-no_reasoning-0.6b,llm_judged
84,unknown,unmapped,filtered_wc_sample_500k-request-237-71,0.5000,1.0000,0.5000,0.0000,0.0020,0.0020,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,olmo2-32b,yi-9b,llm_judged
85,unknown,unmapped,tulu_v3.9_synthetic_finalresp_wildguardmixtrain_decontaminated_50k-request-19-803,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,qwq-32b,phi4-mini-instruct,llm_judged
